Desk,Rls HR,City
1,0,5
1,1,4
1,2,3
1,11,6
1,12,3
1,13,5
1,14,8
1,15,7
1,16,5
1,17,4
1,18,7
1,19,6
1,20,4
1,21,6
1,22,2
1,23,3
3,0,4
3,1,4
3,2,4
3,11,8
3,12,5
3,13,6
3,14,5
3,15,8
3,16,5
3,17,5
3,18,9
3,19,2
3,20,4
3,21,5
3,22,6
3,23,4
4,0,8
4,1,3
4,2,5
4,10,10
4,11,6
4,12,5
4,13,4
4,14,4
4,15,7
4,16,4
4,18,5
4,19,6
4,20,2
4,21,4
4,22,2
5,0,3
5,1,2
5,2,2
5,10,7
5,11,6
5,12,6
5,13,5
5,14,4
5,15,3
5,16,7
5,17,3
5,18,4
5,19,4
5,20,4
5,21,6
5,22,5
5,23,5
7,0,5
7,1,2
7,2,2
7,9,2
7,10,4
7,11,5
7,12,4
7,13,5
7,14,7
7,15,6
7,16,3
7,17,7
7,18,6
7,19,6
7,20,4
7,21,8
7,22,8
7,23,5
8,0,2
8,1,2
8,9,7
8,10,5
8,11,4
8,12,6
8,13,2
8,14,5
8,15,4
8,16,6
8,17,5
8,18,7
8,19,4
8,20,5
8,21,5
8,22,6
8,23,6
9,0,6
9,1,4
9,2,4
9,4,2
9,10,3
9,11,6
9,12,6
9,13,7
9,14,2
9,15,8
9,16,4
9,17,4
9,18,2
9,19,6
9,20,3
9,21,2
9,22,4
9,23,2
10,15,4
10,16,6
10,17,9
10,18,8
10,19,6
10,20,3
10,21,2
10,22,3
44,0,5
44,1,2
44,10,4
44,11,5
44,12,4
44,13,5
44,14,3
44,15,4
44,16,4
44,17,4
44,18,4
44,19,4
44,20,6
44,21,5
44,22,4
44,23,3
45,0,3
45,1,4
45,2,2
45,9,5
45,10,4
45,11,5
45,12,5
45,13,4
45,14,4
45,15,3
45,16,4
45,17,5
45,18,5
45,19,4
45,20,2
45,21,5
45,22,3
45,23,4
46,9,2
46,10,6
46,11,2
46,12,6
46,13,5
46,14,6
46,15,4
46,16,6
46,17,2
47,0,3
47,1,4
47,9,4
47,10,3
47,11,5
47,12,4
47,13,5
47,14,4
47,15,5
47,16,5
47,17,4
47,18,5
47,19,5
47,20,5
47,21,4
47,22,3
47,23,3
48,9,6
48,10,8
48,11,4
48,12,5
48,13,6
48,14,4
48,15,6
48,16,3
48,17,4
49,9,4
49,10,6
49,11,3
49,12,4
49,13,4
49,14,6
49,15,4
49,16,4
49,17,3
54,23,2
55,0,4
55,1,2
55,2,2
55,18,6
55,19,4
55,20,4
55,21,6
55,22,5
55,23,3
56,0,4
56,9,4
56,10,4
56,11,4
56,12,3
56,13,3
56,14,5
56,15,2
56,16,4
56,17,5
56,18,4
56,19,3
56,20,5
56,21,4
56,22,5
56,23,5
57,0,3
57,1,3
57,9,4
57,10,4
57,11,6
57,12,4
57,13,2
57,14,7
57,15,3
57,16,2
57,17,7
57,18,2
57,19,5
57,20,6
57,21,3
57,22,4
57,23,4
58,0,2
58,1,2
58,9,5
58,10,6
58,11,2
58,12,5
58,13,6
58,14,5
58,15,5
58,16,8
58,17,6
58,18,4
58,19,9
58,20,4
58,21,4
58,22,5
58,23,7
59,0,8
59,1,3
59,9,4
59,10,5
59,11,5
59,12,5
59,13,2
59,14,6
59,15,6
59,16,4
59,17,7
59,18,6
59,19,3
59,20,6
59,21,4
59,22,4
59,23,10
61,0,4
61,9,6
61,10,5
61,11,6
61,12,2
61,13,4
61,14,4
61,15,4
61,16,2
61,17,5
61,18,3
61,19,6
61,20,5
61,21,4
61,22,4
61,23,8
62,0,5
62,1,3
62,10,6
62,11,3
62,12,6
62,13,6
62,14,4
62,15,3
62,16,7
62,17,6
62,18,6
62,19,4
62,20,8
62,21,5
62,22,4
62,23,6
63,0,2
63,1,2
63,2,2
63,18,8
63,19,3
63,20,6
63,21,6
63,22,5
63,23,8
64,0,2
64,1,2
64,17,4
64,18,5
64,19,4
64,20,4
64,21,6
64,22,6
64,23,3
65,16,5
65,17,5
65,18,4
65,19,4
65,20,4
65,21,6
65,22,4
65,23,3
66,16,3
66,17,7
66,18,5
66,19,4
66,20,3
66,21,4
66,22,5
66,23,3
67,9,2
67,10,8
67,11,4
67,12,6
67,13,6
67,14,6
67,15,3
67,16,6
67,18,2
68,9,2
68,10,3
68,11,7
68,12,6
68,13,4
68,14,8
68,15,5
68,16,3
68,17,2
69,9,2
69,10,6
69,11,4
69,12,2
69,13,4
69,14,5
69,15,5
69,16,2
69,17,6
70,9,4
70,10,5
70,11,5
70,12,3
70,13,5
70,14,7
70,15,2
70,16,4
70,17,4
71,0,3
71,2,2
71,17,3
71,18,6
71,19,2
71,20,2
71,21,6
71,22,6
72,1,5
72,17,2
72,18,5
72,19,4
72,20,2
72,21,4
72,22,7
72,23,2
73,9,2
73,10,5
73,11,6
73,12,6
73,13,4
73,14,6
73,15,4
73,16,8
73,17,2
73,18,2
74,0,4
74,18,4
74,19,8
74,20,3
74,21,6
74,22,6
74,23,6
75,0,2
75,1,3
75,9,2
75,10,4
75,11,5
75,12,3
75,13,3
75,14,6
75,15,3
75,16,4
75,17,2
75,18,7
75,19,3
75,20,4
75,21,3
75,22,8
75,23,2
76,0,5
76,1,2
76,2,2
76,9,3
76,10,8
76,11,5
76,12,3
76,13,5
76,14,6
76,15,3
76,16,5
76,17,7
76,18,4
76,19,8
76,20,5
76,21,6
76,22,6
76,23,2
77,0,4
77,1,3
77,8,2
77,9,3
77,10,7
77,11,6
77,12,6
77,13,7
77,14,5
77,15,6
77,16,7
77,17,6
77,18,3
77,19,4
77,20,6
77,21,4
77,22,9
77,23,2
78,0,3
78,1,3
78,17,2
78,18,3
78,19,4
78,20,5
78,21,6
78,22,5
78,23,4
79,0,4
79,1,2
79,9,2
79,10,5
79,11,3
79,12,5
79,13,3
79,14,5
79,15,4
79,16,4
79,17,4
79,18,4
79,19,4
79,20,4
79,21,7
79,22,4
79,23,2
80,9,3
80,10,6
80,11,2
80,12,5
80,13,2
80,14,5
80,15,4
80,16,4
80,17,5
80,18,2
81,3,3
81,4,4
81,8,14
81,9,12
81,10,7
81,11,5
81,12,4
81,13,5
81,14,3
81,15,4
81,16,3
81,17,4
81,18,4
82,3,4
82,4,5
82,8,11
82,9,14
82,10,6
82,11,4
82,12,4
82,13,4
82,14,5
82,15,5
82,16,6
82,17,3
82,18,5
83,3,4
83,4,4
83,5,3
83,7,2
83,8,18
83,9,10
83,10,7
83,11,7
83,12,4
83,13,6
83,14,6
83,15,3
83,16,6
83,17,3
83,18,2
84,3,2
84,4,2
84,5,2
84,8,16
84,9,15
84,10,7
84,11,6
84,12,5
84,13,3
84,14,6
84,15,5
84,17,7
84,18,3
85,2,2
85,4,4
85,8,13
85,9,17
85,10,7
85,11,11
85,12,6
85,13,3
85,14,7
85,15,6
85,16,4
85,17,5
85,18,4
86,3,2
86,4,6
86,5,2
86,8,17
86,9,9
86,10,10
86,11,9
86,12,6
86,13,5
86,14,2
86,15,7
86,16,7
86,17,2
87,4,5
87,8,9
87,9,20
87,10,9
87,11,5
87,12,5
87,13,5
87,14,6
87,15,6
87,17,4
87,18,4
87,19,2
87,20,2
88,2,2
88,3,2
88,4,4
88,6,2
88,8,12
88,9,10
88,10,7
88,11,4
88,12,6
88,13,5
88,14,6
88,15,3
88,16,4
88,17,4
89,0,2
89,2,2
89,18,3
89,19,5
89,20,6
89,21,2
89,22,5
89,23,5
90,0,5
90,1,3
90,2,3
90,19,6
90,21,6
90,22,6
90,23,2
91,0,3
91,19,5
91,20,7
91,21,7
91,22,6
92,18,2
92,19,7
92,20,5
92,21,5
92,22,4
92,23,5
93,0,2
93,1,2
93,3,2
93,18,2
93,19,8
93,20,4
93,21,6
93,22,2
93,23,4
94,17,4
94,18,4
94,19,8
94,20,7
94,21,9
94,22,2
94,23,4
95,0,2
95,18,4
95,19,4
95,20,3
95,21,6
95,22,2
95,23,5
96,0,3
96,1,3
96,2,2
96,17,4
96,18,5
96,19,4
96,20,5
96,21,5
96,22,5
96,23,3
97,0,3
97,1,6
97,2,2
97,10,7
97,11,3
97,12,7
97,13,5
97,14,5
97,15,3
97,16,4
97,17,4
97,18,5
97,19,4
97,20,5
97,21,4
97,22,3
97,23,5
98,0,3
98,1,3
98,3,2
98,10,5
98,11,5
98,12,5
98,13,3
98,14,7
98,15,7
98,16,5
98,17,5
98,18,6
98,19,4
98,20,4
98,21,3
98,22,3
98,23,6
99,0,3
99,1,3
99,9,3
